work_id,subject
7679,Marine Art/Maritime
7681,Marine Art/Maritime
7687,Marine Art/Maritime
7689,Marine Art/Maritime
7689,Seascapes
7691,Marine Art/Maritime
7693,Marine Art/Maritime
7695,Marine Art/Maritime
7695,Seascapes
7699,Marine Art/Maritime
7719,Marine Art/Maritime
7725,Marine Art/Maritime
7725,Seascapes
7729,Marine Art/Maritime
160815,Christianity
160532,Christianity
160532,Jesus Christ
160540,Landscape Art
157804,Landscape Art
207284,Landscape Art
157814,Landscape Art
160548,Landscape Art
160835,Landscape Art
157666,Landscape Art
160965,Landscape Art
160556,Landscape Art
207279,Landscape Art
5529,Lovers
5529,Nude
5551,Portraits
5553,Portraits
5561,Portraits
5569,Portraits
5571,Portraits
5575,Portraits
5573,Portraits
5577,Portraits
5579,Portraits
5583,Portraits
5589,Portraits
123765,Landscape Art
29157,Portraits
29167,Seascapes
29163,Seascapes
28247,U.S. Presidents
21671,Portraits
193705,Portraits
193714,Portraits
193723,Portraits
193732,Portraits
193741,Portraits
193777,Portraits
193768,Portraits
193786,Portraits
193759,Portraits
193750,Portraits
25519,Rivers/Lakes
191970,Musics
192064,Musics
28307,Marine Art/Maritime
28307,Seascapes
28301,Marine Art/Maritime
28301,Seascapes
28309,Marine Art/Maritime
28311,Marine Art/Maritime
28303,Marine Art/Maritime
28305,Marine Art/Maritime
28305,Seascapes
188593,Christianity
188598,Christianity
204898,Portraits
29546,Portraits
29554,Lovers
154883,Still-Life
156550,Flowers
156550,Still-Life
156534,Flowers
156534,Still-Life
156542,Flowers
156542,Still-Life
156558,Still-Life
154855,Flowers
154855,Still-Life
154869,Flowers
154869,Still-Life
194051,Christianity
194022,Christianity
1376,Musics
1382,Portraits
1398,Musics
1414,Architectures
1420,Musics
194189,Portraits
194288,Portraits
194297,Portraits
194198,Portraits
194270,Portraits
194207,Portraits
194279,Portraits
194216,Portraits
194225,Portraits
194234,Portraits
194252,Portraits
194261,Portraits
194304,Portraits
194311,Portraits
26846,Nude
26872,Nude
26876,Portraits
26904,Portraits
26918,Nude
18571,Churches/Temples/Mosques
18587,Rivers/Lakes
18589,Rivers/Lakes
204478,Spring
26378,Nude
26398,Portraits
30943,Dogs
30951,Dogs
30957,Tigers
30963,Dogs
30967,Portraits
30971,Still-Life
30981,Dogs
30985,Tigers
189813,Portraits
189793,Portraits
189822,Portraits
189804,Portraits
189831,Portraits
194492,Musics
27018,Portraits
27022,Still-Life
27483,Autumn/Fall
27487,Architectures
27493,Portraits
27495,Portraits
20876,Portraits
20878,Portraits
204197,Portraits
20880,Portraits
20882,Portraits
26145,Dogs
26163,Lovers
26179,Lovers
26177,Lovers
30897,Portraits
176533,Portraits
30899,Portraits
176560,Portraits
30901,Portraits
28449,Musics
7733,Still-Life
7735,Still-Life
7737,Still-Life
7747,Still-Life
204540,Still-Life
7755,Portraits
7763,Still-Life
7765,Still-Life
7767,Still-Life
7769,Still-Life
198480,Still-Life
7775,Still-Life
204552,Flowers
7781,Still-Life
7785,Still-Life
28657,Gardens
190758,Marine Art/Maritime
190740,Marine Art/Maritime
190729,Marine Art/Maritime
190749,Marine Art/Maritime
24371,Portraits
24373,Churches/Temples/Mosques
24373,Rivers/Lakes
27521,Jesus Christ
28319,Portraits
28321,Portraits
28323,Portraits
27856,Landscape Art
199973,Landscape Art
207586,Landscape Art
27858,Landscape Art
27860,Landscape Art
27860,Rivers/Lakes
27864,Landscape Art
27864,Rivers/Lakes
27862,Landscape Art
27862,Rivers/Lakes
27866,Landscape Art
27868,Landscape Art
27870,Landscape Art
27872,Landscape Art
27872,Rivers/Lakes
27872,Summer
27874,Landscape Art
27876,Landscape Art
27876,Seascapes
27878,Landscape Art
207595,Landscape Art
31798,Portraits
198519,Bridges
136150,Bridges
31834,Rivers/Lakes
32022,Autumn/Fall
27038,Marine Art/Maritime
27040,Marine Art/Maritime
27042,Marine Art/Maritime
27042,Seascapes
27044,Marine Art/Maritime
27046,Marine Art/Maritime
27048,Marine Art/Maritime
27050,Marine Art/Maritime
27052,Marine Art/Maritime
31984,Portraits
31986,Portraits
31988,Portraits
31990,Portraits
31992,Portraits
5291,Rivers/Lakes
5305,Flowers
5305,Gardens
204420,Portraits
204431,Portraits
204442,Portraits
23704,Portraits
23706,Portraits
23708,Portraits
23710,Portraits
31930,U.S. Presidents
31932,U.S. Presidents
31934,U.S. Presidents
200944,Christianity
200944,Portraits
31964,U.S. Presidents
29350,Portraits
29354,Portraits
31994,Portraits
31996,Portraits
31998,Portraits
32000,Portraits
32000,U.S. Presidents
32002,Portraits
199200,Portraits
199210,Portraits
121963,Portraits
121985,Portraits
122007,Portraits
122029,Portraits
122051,Portraits
122040,Portraits
175698,Portraits
24463,Portraits
24465,Portraits
121282,Portraits
121849,Portraits
121317,Portraits
121326,Portraits
121295,Portraits
121306,Portraits
6392,Bridges
6398,Bridges
6404,Horses
6408,Seascapes
6440,Bridges
31824,Portraits
19687,Still-Life
19697,Still-Life
19705,Still-Life
19709,Still-Life
30012,Musics
22466,Winter
23436,Portraits
23434,Portraits
23438,Portraits
23440,Portraits
23442,Portraits
23444,Portraits
1942,Portraits
1946,Portraits
1950,Portraits
1956,Christianity
1964,Christianity
1966,Christianity
1968,Christianity
29818,Abstract/Modern Art
27060,Christianity
27064,Christianity
23884,Nude
23925,Christianity
21058,Marine Art/Maritime
21060,Marine Art/Maritime
21060,Rivers/Lakes
21062,Marine Art/Maritime
21064,Jesus Christ
21064,Marine Art/Maritime
21064,Seascapes
21066,Marine Art/Maritime
21066,Seascapes
21068,Marine Art/Maritime
21070,Marine Art/Maritime
21070,Seascapes
21072,Marine Art/Maritime
21072,Portraits
21074,Marine Art/Maritime
21074,Portraits
21076,Marine Art/Maritime
21076,Portraits
21078,Marine Art/Maritime
21080,Marine Art/Maritime
21082,Marine Art/Maritime
21082,Seascapes
21084,Marine Art/Maritime
21086,Marine Art/Maritime
122955,Portraits
24117,Nude
24117,Portraits
20052,Spring
20054,Flowers
18246,Flowers
18248,Gardens
29322,Rivers/Lakes
29324,Rivers/Lakes
22668,Autumn/Fall
27940,Marine Art/Maritime
27942,Marine Art/Maritime
27944,Marine Art/Maritime
27946,Marine Art/Maritime
27948,Marine Art/Maritime
27950,Marine Art/Maritime
27952,Marine Art/Maritime
27954,Marine Art/Maritime
27956,Marine Art/Maritime
23420,Deers
28257,Christianity
28277,Christianity
28279,Christianity
28283,Portraits
28287,Christianity
28289,Christianity
28297,Christianity
169386,Christianity
182624,Flowers
29944,Nude
1439,Still-Life
1447,Nude
1449,Nude
195941,Nude
1445,Nude
195837,Still-Life
1465,Still-Life
1467,Still-Life
1469,Flowers
1471,Still-Life
196188,Nude
1475,Flowers
192088,Landscape Art
192148,Landscape Art
192110,Landscape Art
192160,Landscape Art
192120,Landscape Art
192167,Landscape Art
192134,Landscape Art
192099,Landscape Art
192141,Landscape Art
4431,Flowers
4439,Nude
4459,Dancers
4485,Flowers
20236,Abstract/Modern Art
20240,Abstract/Modern Art
20242,Abstract/Modern Art
20250,Abstract/Modern Art
20270,Abstract/Modern Art
20280,Abstract/Modern Art
20286,Abstract/Modern Art
20288,Abstract/Modern Art
20290,Abstract/Modern Art
20290,Gardens
20294,Abstract/Modern Art
129686,Rivers/Lakes
27928,Horses
27930,Dogs
27938,Horses
28066,Winter
189224,Marine Art/Maritime
189215,Marine Art/Maritime
168132,Marine Art/Maritime
22890,Nude
22904,Nude
22905,Portraits
207269,Portraits
22908,Portraits
22909,Portraits
22911,Portraits
22912,Portraits
22914,Portraits
22919,Christianity
22933,Christianity
22933,Jesus Christ
22941,Christianity
22941,Jesus Christ
22947,Christianity
22948,Christianity
198763,Christianity
22950,Nude
22951,Nude
22957,Nude
22960,Nude
22966,Nude
24105,Christianity
24107,Christianity
24109,Christianity
24113,Christianity
24113,Jesus Christ
24367,Lovers
24367,Spring
24369,Lovers
3737,Nude
196317,Nude
196325,Nude
3759,Dogs
197711,Flowers
197452,Flowers
197721,Still-Life
131020,Gardens
131020,Spring
21297,Spring
21299,Gardens
21301,Gardens
21303,Rivers/Lakes
21309,Flowers
29292,Landscape Art
29294,Landscape Art
29296,Landscape Art
29298,Landscape Art
207310,Landscape Art
204710,Summer
30280,Summer
30290,Nude
30290,Rivers/Lakes
22625,Abstract/Modern Art
200966,Abstract/Modern Art
22631,Abstract/Modern Art
22632,Abstract/Modern Art
22633,Abstract/Modern Art
22629,Abstract/Modern Art
23642,Still-Life
23660,Still-Life
23648,Still-Life
23650,Still-Life
23652,Still-Life
23656,Still-Life
23658,Still-Life
26494,Musics
160669,Architectures
160660,Architectures
158676,Architectures
188387,Architectures
188392,Architectures
160677,Architectures
160685,Architectures
160693,Architectures
160701,Architectures
24129,Portraits
24125,Portraits
24131,Portraits
24127,Portraits
188382,Flowers
188382,Still-Life
160895,Flowers
160895,Still-Life
160709,Flowers
160709,Still-Life
30907,Marine Art/Maritime
30909,Marine Art/Maritime
30911,Marine Art/Maritime
30913,Marine Art/Maritime
30915,Marine Art/Maritime
30917,Marine Art/Maritime
28149,Portraits
28161,Portraits
28163,Portraits
28171,Portraits
28177,Portraits
28179,Portraits
3179,Nude
3187,Christianity
3187,Jesus Christ
3191,Christianity
3191,Jesus Christ
3197,Christianity
31710,Deers
31710,Dogs
25708,Abstract/Modern Art
25712,Abstract/Modern Art
179503,Abstract/Modern Art
179382,Abstract/Modern Art
25718,Abstract/Modern Art
26053,Nude
189581,Christianity
189581,Jesus Christ
189573,Christianity
189573,Jesus Christ
168064,Christianity
158890,Christianity
189589,Christianity
20804,Dogs
20848,Horses
20860,Winter
18761,Jesus Christ
18763,Nude
18805,Christianity
18805,Jesus Christ
21399,Portraits
21407,Nude
21413,Christianity
21417,Christianity
21419,Christianity
7865,Portraits
7869,Portraits
7877,Christianity
7877,Portraits
7879,Christianity
7881,Christianity
168953,Christianity
7893,Christianity
7897,Christianity
29300,Marine Art/Maritime
29302,Marine Art/Maritime
29304,Marine Art/Maritime
29304,Seascapes
29306,Marine Art/Maritime
29308,Marine Art/Maritime
29310,Marine Art/Maritime
29310,Seascapes
29312,Marine Art/Maritime
29312,Seascapes
29314,Marine Art/Maritime
29314,Seascapes
29316,Marine Art/Maritime
29316,Seascapes
29318,Marine Art/Maritime
29320,Marine Art/Maritime
200080,Marine Art/Maritime
199289,Christianity
29576,Christianity
29402,Christianity
29402,Jesus Christ
29414,Portraits
29418,Portraits
25529,Marine Art/Maritime
25529,Portraits
25531,Marine Art/Maritime
25531,Portraits
22351,Dogs
22353,Deers
22353,Dogs
22354,Dogs
22361,Deers
22365,Summer
28399,Portraits
28401,Portraits
28403,Portraits
22787,Nude
27084,Portraits
207636,Portraits
25756,Abstract/Modern Art
25762,Abstract/Modern Art
25772,Abstract/Modern Art
30268,Seascapes
26448,Horses
26460,Nude
26462,Horses
26468,Horses
26472,Lovers
18489,Landscape Art
18491,Landscape Art
18501,Landscape Art
18505,Landscape Art
18507,Landscape Art
18519,Landscape Art
18525,Landscape Art
18527,Landscape Art
18529,Landscape Art
18531,Landscape Art
18533,Landscape Art
204743,Landscape Art
204753,Landscape Art
18535,Autumn/Fall
18535,Landscape Art
18821,Musics
18841,Portraits
18829,Portraits
18831,Portraits
18865,Portraits
18867,Portraits
18871,Portraits
19337,Portraits
28689,Marine Art/Maritime
28689,Seascapes
28693,Marine Art/Maritime
28695,Marine Art/Maritime
28697,Marine Art/Maritime
28697,Seascapes
28699,Marine Art/Maritime
28701,Marine Art/Maritime
28701,Seascapes
28703,Marine Art/Maritime
28703,Seascapes
28705,Marine Art/Maritime
27026,Marine Art/Maritime
27028,Marine Art/Maritime
27030,Marine Art/Maritime
27032,Marine Art/Maritime
27034,Marine Art/Maritime
27036,Marine Art/Maritime
27036,Seascapes
26787,Marine Art/Maritime
26787,Rivers/Lakes
26789,Marine Art/Maritime
26789,Rivers/Lakes
207032,Landscape Art
28707,Portraits
28707,U.S. Presidents
28709,Portraits
28711,Portraits
28713,Portraits
28715,Portraits
28719,Portraits
28725,Portraits
28725,U.S. Presidents
28727,Portraits
28729,Portraits
28731,Portraits
28735,Portraits
28737,Portraits
28739,Portraits
28743,Portraits
28745,Portraits
28747,Portraits
28733,Portraits
28749,Portraits
28757,Portraits
206494,Portraits
28761,Portraits
28763,Portraits
28987,Musics
169261,Musics
29019,Portraits
29021,Portraits
29033,Christianity
29039,Christianity
29005,Christianity
169272,Musics
387,Cafes/Bars
179,Spring
403,Flowers
180,Cafes/Bars
417,Gardens
418,Gardens
2976,Abstract/Modern Art
2978,Abstract/Modern Art
2980,Abstract/Modern Art
2982,Abstract/Modern Art
2984,Abstract/Modern Art
2988,Abstract/Modern Art
2998,Abstract/Modern Art
3002,Abstract/Modern Art
3004,Abstract/Modern Art
3008,Abstract/Modern Art
3026,Abstract/Modern Art
160717,Portraits
160905,Portraits
160725,Portraits
160915,Portraits
26561,Still-Life
26563,Still-Life
